action_id,workstream,action,linked_finding,severity,owner_role,start_week,end_week,depends_on,kpi,baseline,baseline_unit,baseline_as_of,baseline_evidence,target_day_100,target_basis,review_status,notes
A-01,Customer,"Obtain written change-of-control consent from Northwind Retail Group and agree renewal terms for contract CTR-00001",RF-001,Critical,CEO,Pre-close,Pre-close,,Northwind ARR,10547040.61,usd,2025-12-01,"SQL: SELECT arr_usd FROM workspace.aava_deal_studio.fact_subscription_month WHERE customer_id = 'CUST-0001' AND snapshot_month = DATE '2025-12-01'",Written consent signed,milestone,subject to reviewer confirmation,"Includes renewal risk embedded in RF-001; SPA protections to be handled by deal counsel"
A-02,Finance,"Re-price the transaction using Team Adjusted EBITDA and agree EBITDA-based purchase price adjustment mechanics",RF-002,Critical,CFO,1,4,,Team Adjusted EBITDA,5460000.0,usd,2025,"DOC: wb_1/EARNINGS_CHALLENGE_ANALYZER/ebitda_bridge.json p.1 'team_adjusted_ebitda_usd":5460000.0'",Improve on baseline; value set by operating partner in week 1,set by operating partner,subject to reviewer confirmation,"ADJ-003, ADJ-004, ADJ-005, ADJ-007, ADJ-010 rejected adjustments preserved; legal structuring for PPA to be led by deal counsel"
A-03,Customer,"Execute a Vantage Grocers retention and service improvement plan to stabilise SLA performance and secure renewal",RF-003,High,CRO,1,8,,Vantage latest ARR,4681407.34,usd,2025-12-01,"SQL: SELECT 4681407.34 AS vantage_arr_at_risk_usd, ROUND(100.0*4681407.34/38662136.43,2) AS arr_share_of_closing_arr_pct FROM workspace.aava_deal_studio.fact_subscription_month",Written retention plan agreed with customer,milestone,subject to reviewer_confirmation,"Service instability and SLA termination rights under Sections 12.2 and 12.3; monthly uptime confirmation and legal interpretation to be handled by CTO and deal counsel"
A-04,Technology,"Implement a Northwind-specific SLA and availability improvement programme to reduce Severity 1 incidents and service credit exposure",RF-003,High,CTO,1,8,A-03,Northwind service availability,99.2,percent,2025,"DOC: wb_1/Input/10_IT_Systems_Overview_Mgmt.md p.1 'Measured availability in FY2025 was 99.2%.'",Contractual availability threshold 99.5%,contract threshold,subject to reviewer_confirmation,"Northwind service credit clause CL-007 exposes up to 8% annual fee credit; escalation and SLA termination provisions for Vantage linked via CL-011 and CL-012"
A-05,Strategy,"Negotiate amendment or waiver of Atlas Distribution exclusivity covenant to permit direct European sales aligned with growth plan",RF-004,High,CEO,1,12,,Atlas exclusivity status,"Not obtained",text,2025,"DOC: wb_1/CONTRACT_INTELLIGENCE_ANALYZER/clause_register.json p.1 'Supplier appoints Reseller as its sole and exclusive distributor of the Harborline Platform in the Territory.'",Executed waiver or amendment permitting direct sales,milestone,subject to reviewer_confirmation,"Legal analysis of Section 4.3 Exclusivity Covenant and Section 8.2 Early Termination to be led by deal counsel; forward $6M FY2028 ARR plan blocked until resolved"
A-06,Legal,"Undertake legal review of Atlas exclusivity, Vantage MFN, and Northwind change-of-control clauses and advise on SPA protections",RF-001,High,deal counsel,Pre-close,4,,Number of high-risk contractual clauses reviewed,3,count,2025,"DOC: wb_1/CONTRACT_INTELLIGENCE_ANALYZER/clause_register.json p.1 'clause_register' entries for CL-004, CL-010, CL-022",Written legal memorandum delivered,milestone,subject_to_reviewer_confirmation,"Covers RF-001, RF-004, RF-005; includes SPA protection drafting and assessment of existing non-Atlas territory customers for exclusivity breaches"
A-07,Finance,"Design and execute a collections sprint focused on invoices contributing to elevated FY2025 weighted DSO",RF-007,Medium,CFO,1,8,,Weighted DSO FY2025,66.8,days,2025,"SQL: SELECT ROUND(SUM(c.days_outstanding * i.invoice_amount_usd) / SUM(i.invoice_amount_usd), 1) AS weighted_dso_2025 FROM workspace.aava_deal_studio.fact_collection c JOIN workspace.aava_deal_studio.fact_invoice i ON c.invoice_id = i.invoice_id WHERE year(to_date(i.invoice_date)) = 2025",Improve on baseline; value set by operating partner in week 1,set by operating partner,subject_to_reviewer_confirmation,"Board minutes item 11 Working Capital note material extension at three largest customers; working capital peg adjustment to be structured in SPA"
A-08,Revenue ops,"Rebuild recurring revenue classification from executed contracts and product catalogue to eliminate $4.68M mis-tagged recurring revenue",RF-006,Medium,CFO,2,6,A-06,Revenue failing recurring subscription test,4675078.45,usd,2025,"SQL: SELECT 4675078.45 AS revenue_failing_recurring_test_usd, ROUND(100.0*4675078.45/42730073.29,2) AS pct_of_fy2025_revenue FROM workspace.aava_deal_studio.fact_invoice_line",Improve on baseline; value set by operating partner in week 1,set_by_operating_partner,subject_to_reviewer_confirmation,"Uses recurring revenue restatement method from revenue_quality_scorecard SQL-EV-010; contract-level evidence needed to confirm final recurring share"
A-09,Customer,"Develop a customer retention programme focused on FY2024 cohort logos that churned in FY2025",RF-008,Low,CRO,5,12,,Churned ARR from Dec 2024 cohort,706649.15,usd,2025-12-01,"SQL: SELECT 706649.15 AS churned_arr_usd, ROUND(100.0*706649.15/38662136.43,2) AS arr_share_pct FROM workspace.aava_deal_studio.fact_subscription_month",Improve on baseline; value set by operating partner in week 1,set_by_operating_partner,subject_to_reviewer_confirmation,"Addresses CLM-02 and CLM-04 NRR and logo churn gaps; specific customer list and reasons for churn to be obtained from management"
A-10,Technology,"Initiate remediation of key IT constraints including unsupported PostgreSQL 12, single-region AWS deployment, and lack of EU data residency roadmap",IT-OVERVIEW,Medium,CTO,4,12,,Number of critical IT constraints remediated,0,count,2025-10-30,"DOC: wb_1/Input/10_IT_Systems_Overview_Mgmt.md p.1 'PostgreSQL 12 is past end of standard support... Hosting is single-region AWS us-east-1 with no active failover... No EU data residency capability exists today.'",Remediation plan approved and at least one constraint fully remediated,milestone,subject_to_reviewer_confirmation,"Includes availability, deployment access, dependency vulnerabilities, and data residency; detailed technical design owned by CTO"
